"id","serie_name","amazon_link","author_id","pen_name","book_status","num_books","goodreads_link","image","currentBooks"
113098,"The Uplift Saga",NULL,"940517",NULL,"done",6,"https://www.goodreads.com/series/41134-the-uplift-saga",NULL,"6"
113141,"Young Wizards",NULL,"337427",NULL,"done",10,"https://www.goodreads.com/series/40400-young-wizards",NULL,"9"
113490,"Out of Uniform",NULL,"606166",NULL,"done",10,"https://www.goodreads.com/series/46633-out-of-uniform",NULL,"9"
113681,"Korak",NULL,"804784",NULL,"done",8,"https://www.goodreads.com/series/292014-korak",NULL,"0"
113740,"Emma Harte Saga",NULL,"293024",NULL,"done",7,"https://www.goodreads.com/series/51598-emma-harte-saga",NULL,"0"
114266,"Intervention",NULL,"959910",NULL,"done",2,"https://www.goodreads.com/series/40711-intervention",NULL,"2"
114514,"From the Files of Linda Fairstein",NULL,"222965",NULL,"done",6,"https://www.goodreads.com/series/120515-from-the-files-of-linda-fairstein",NULL,"6"
114872,"Acorna",NULL,"158831",NULL,"done",10,"https://www.goodreads.com/series/40398-acorna",NULL,"10"
115011,"Spektras",NULL,"110530",NULL,"done",2,"https://www.goodreads.com/series/116535-spektras",NULL,"0"
116146,"The Young Adventurers",NULL,"540713",NULL,"done",8,"https://www.goodreads.com/series/56214-adventure",NULL,"1"
116828,"Lucy Campion Mysteries",NULL,"991789",NULL,"done",7,"https://www.goodreads.com/series/119385-lucy-campion-mysteries",NULL,"7"
116838,"Kindred",NULL,"496164",NULL,"done",2,"https://www.goodreads.com/series/79086-kindred",NULL,"2"
116937,"Road Trip",NULL,"759737",NULL,"done",2,"https://www.goodreads.com/series/191537-road-trip",NULL,"2"
117048,"Tales of the Grotesque and Arabesque",NULL,"518484",NULL,"done",1,"https://www.goodreads.com/series/150453-tales-of-the-grotesque-and-arabesque",NULL,"0"
117066,"Hunter",NULL,"515825",NULL,"done",3,"https://www.goodreads.com/series/155211-hunter",NULL,"3"
117095,"Ottoline",NULL,"891594",NULL,"done",4,"https://www.goodreads.com/series/89842-ottoline",NULL,"4"
117209,"Eden",NULL,"496164",NULL,"done",2,"https://www.goodreads.com/series/351501-eden",NULL,"1"
117509,"Thunder and Lightning",NULL,"593821",NULL,"done",4,"https://www.goodreads.com/series/40764-thunder-and-lightning",NULL,"4"
