id,serie_name,amazon_link,author_id,pen_name,book_status,num_books,goodreads_link,image,currentBooks
100208,Соглашение,NULL,110530,NULL,done,3,https://www.goodreads.com/series/269507,NULL,3
100452,The Letters of H.P. Lovecraft & Robert E. Howard,NULL,328394,NULL,done,2,https://www.goodreads.com/series/403589-the-letters-of-h-p-lovecraft-robert-e-howard,NULL,2
100513,Dangerous Days,NULL,439166,NULL,done,4,https://www.goodreads.com/series/182777-dangerous-days,NULL,6
100986,The Complete Stories of Theodore Sturgeon,NULL,866070,NULL,done,13,https://www.goodreads.com/series/166524-the-complete-stories-of-theodore-sturgeon,NULL,26
101087,Medlar Mystery,NULL,404925,NULL,done,5,https://www.goodreads.com/series/243177-medlar-mystery,NULL,5
101909,Lady Whistledown,NULL,417859,NULL,done,2,https://www.goodreads.com/series/51906-lady-whistledown,NULL,2
102435,Julian Day,NULL,267170,NULL,done,3,https://www.goodreads.com/series/45628-julian-day,NULL,3
102519,The Cairo Trilogy,NULL,229978,NULL,done,3,https://www.goodreads.com/series/52973-the-cairo-trilogy,NULL,6
102586,Five Senses,NULL,871748,NULL,done,5,https://www.goodreads.com/series/78495-five-senses,NULL,5
102759,The Last Days,NULL,534838,NULL,done,5,https://www.goodreads.com/series/187066-the-last-days-series,NULL,5
103248,The Monstrumologist,NULL,771678,NULL,done,4,https://www.goodreads.com/series/47004-the-monstrumologist,NULL,4
103881,Holger Danske,NULL,318993,NULL,done,2,https://www.goodreads.com/series/382073-holger-danske,NULL,2
104326,The Dublin Saga,NULL,232530,NULL,done,2,https://www.goodreads.com/series/44165-the-dublin-saga,NULL,3
104417,Bastion Club,NULL,966435,NULL,done,8,https://www.goodreads.com/series/40487-bastion-club,NULL,9
105275,Wishing Chair,NULL,540713,NULL,done,3,https://www.goodreads.com/series/66134-wishing-chair,NULL,12
105997,Darkness Creeping,NULL,284981,NULL,done,3,https://www.goodreads.com/series/61540-darkness-creeping,NULL,5
106887,Classic Star Wars,NULL,816204,NULL,done,2,https://www.goodreads.com/series/223847-classic-star-wars-devilworlds,NULL,2
106984,Tachmasib,NULL,434640,NULL,done,1,https://www.goodreads.com/series/344249-tachmasib,NULL,1
107194,The Grangers,NULL,631804,NULL,done,4,https://www.goodreads.com/series/101516-the-grangers,NULL,4
107642,Actions and Reactions,NULL,214235,NULL,done,2,https://www.goodreads.com/series/368977-actions-and-reactions,NULL,2
108317,Sanctuary of the White Friars,NULL,104522,NULL,done,2,https://www.goodreads.com/series/103924-sanctuary-of-the-white-friars,NULL,2
108791,Masquerade Hotel,NULL,593017,NULL,done,4,https://www.goodreads.com/series/326995-masquerade-hotel,NULL,4
109182,About Writing,NULL,937912,NULL,done,4,https://www.goodreads.com/series/169553-about-writing,NULL,7
109693,Professor Gamma,NULL,420271,NULL,done,4,https://www.goodreads.com/series/105064-professor-gamma,NULL,4
110416,Archform: Beauty,NULL,103149,NULL,done,2,https://www.goodreads.com/series/42778-archform-beauty,NULL,2
111500,Percy Jackson and the Olympians,NULL,909635,NULL,done,7,https://www.goodreads.com/series/40736-percy-jackson-and-the-olympians,NULL,7
112111,Capitan Tempesta,NULL,385875,NULL,done,4,https://www.goodreads.com/series/62569-capitan-tempesta,NULL,4
112459,Peregrine,NULL,404925,NULL,done,2,https://www.goodreads.com/series/132168-peregrine,NULL,2
113098,The Uplift Saga,NULL,940517,NULL,done,6,https://www.goodreads.com/series/41134-the-uplift-saga,NULL,7
113141,Young Wizards,NULL,337427,NULL,done,10,https://www.goodreads.com/series/40400-young-wizards,NULL,15
113490,Out of Uniform,NULL,606166,NULL,done,10,https://www.goodreads.com/series/46633-out-of-uniform,NULL,10
113681,Korak,NULL,804784,NULL,done,8,https://www.goodreads.com/series/292014-korak,NULL,8
113740,Emma Harte Saga,NULL,293024,NULL,done,7,https://www.goodreads.com/series/51598-emma-harte-saga,NULL,8
114266,Intervention,NULL,959910,NULL,done,2,https://www.goodreads.com/series/40711-intervention,NULL,2
114514,From the Files of Linda Fairstein,NULL,222965,NULL,done,6,https://www.goodreads.com/series/120515-from-the-files-of-linda-fairstein,NULL,7
114872,Acorna,NULL,158831,NULL,done,10,https://www.goodreads.com/series/40398-acorna,NULL,10
115011,Spektras,NULL,110530,NULL,done,2,https://www.goodreads.com/series/116535-spektras,NULL,2
116828,Lucy Campion Mysteries,NULL,991789,NULL,done,7,https://www.goodreads.com/series/119385-lucy-campion-mysteries,NULL,7
117048,Tales of the Grotesque and Arabesque,NULL,518484,NULL,done,1,https://www.goodreads.com/series/150453-tales-of-the-grotesque-and-arabesque,NULL,41
117095,Ottoline,NULL,891594,NULL,done,4,https://www.goodreads.com/series/89842-ottoline,NULL,4
117209,Eden,NULL,496164,NULL,done,2,https://www.goodreads.com/series/351501-eden,NULL,3
117509,Thunder and Lightning,NULL,593821,NULL,done,4,https://www.goodreads.com/series/40764-thunder-and-lightning,NULL,4
117729,Bruce Coville's Book Of...,NULL,221560,NULL,done,12,https://www.goodreads.com/series/260010-bruce-coville-s-book-of,NULL,12
118013,ChroMagic,NULL,725072,NULL,done,5,https://www.goodreads.com/series/40496-chromagic,NULL,5
118441,Ben Lovatt,NULL,706771,NULL,done,2,https://www.goodreads.com/series/371582-ben-lovatt,NULL,2
118524,Tales From the Umbrella Academy,NULL,446983,NULL,done,6,https://www.goodreads.com/series/317240-tales-from-the-umbrella-academy-you-look-like-death,NULL,6
118596,Missy Piggle-Wiggle,NULL,605540,NULL,done,3,https://www.goodreads.com/series/197438-missy-piggle-wiggle,NULL,3
118824,Call Me By Your Name,NULL,561564,NULL,done,2,https://www.goodreads.com/series/258640-call-me-by-your-name,NULL,2
119618,The Sparrow,NULL,156067,NULL,done,2,https://www.goodreads.com/series/62065-the-sparrow,NULL,2
119876,Wordsworth Poetry Library,NULL,145038,NULL,done,1,https://www.goodreads.com/series/297517-the-wordsworth-poetry-library,NULL,1
120027,Journeys of the Catechist,NULL,844795,NULL,done,3,https://www.goodreads.com/series/40660-journeys-of-the-catechist,NULL,3
120241,Barbara Holloway,NULL,642462,NULL,done,13,https://www.goodreads.com/series/58693-barbara-holloway,NULL,13
120529,The Young Elites,NULL,346253,NULL,done,3,https://www.goodreads.com/series/104843-the-young-elites,NULL,3
121310,Carve the Mark,NULL,713536,NULL,done,2,https://www.goodreads.com/series/148624-carve-the-mark,NULL,2
121441,The Boggart,NULL,713512,NULL,done,3,https://www.goodreads.com/series/49486-the-boggart,NULL,3
122262,Richard Hannay,NULL,560029,NULL,done,6,https://www.goodreads.com/series/56890-richard-hannay,NULL,7
122546,Arsène Lupin,NULL,573788,NULL,done,20,https://www.goodreads.com/series/41315-ars-ne-lupin,NULL,27
